"Model Year","Vehicle Manufacturer Name","Veh Mfr Code","Represented Test Veh Make","Represented Test Veh Model","Test Vehicle ID","Test Veh Configuration #","Test Veh Displacement (L)","Actual Tested Testgroup","Vehicle Type","Rated Horsepower","# of Cylinders and Rotors","Engine Code","Tested Transmission Type Code","Tested Transmission Type","# of Gears","Transmission Lockup?","Drive System Code","Drive System Description","Transmission Overdrive Code","Transmission Overdrive Desc","Equivalent Test Weight (lbs.)","Axle Ratio","N/V Ratio","Shift Indicator Light Use Cd","Shift Indicator Light Use Desc","Test Number","Test Originator","Analytically Derived FE?","ADFE Test Number","ADFE Total Road Load HP","ADFE Equiv. Test Weight (lbs.)","ADFE N/V Ratio","Test Procedure Cd","Test Procedure Description","Test Fuel Type Cd","Test Fuel Type Description","Test Category","THC (g/mi)","CO (g/mi)","CO2 (g/mi)","NOx (g/mi)","PM (g/mi)","CH4 (g/mi)","N2O (g/mi)","RND_ADJ_FE","FE_UNIT","FE Bag 1","FE Bag 2","FE Bag 3","FE Bag 4","DT-Inertia Work Ratio Rating","DT-Absolute Speed Change Ratg","DT-Energy Economy Rating","Target Coef A (lbf)","Target Coef B (lbf/mph)","Target Coef C (lbf/mph**2)","Set Coef A (lbf)","Set Coef B (lbf/mph)","Set Coef C (lbf/mph**2)","Aftertreatment Device Cd","Aftertreatment Device Desc","Police - Emergency Vehicle?","Averaging Group ID","Averaging Weighting Factor","Averaging Method Cd","Averging Method Desc"
2016,"BMW","BMX","BMW","320i xDrive","FX99510",2,2,"DBMXJ02.0N20","Both",181,4,"2.0-N20-F30X","A","Automatic",8,"Y","R","2-Wheel Drive, Rear","2","Top gear ration < 1",3750,3.15,28,"1","Not eqipped","DBMX10024077","MFR","No","",,,,"3","HWFE","61","Tier 2 Cert Gasoline","HWY",0.01236,0.2636,181.35,0.0053,,0.00258,0.01,49.3,"MPG",,,,,,,,50.7,-0.331,0.02127,25.7,-0.313,0.02039,"TWC","Three-way catalyst","N","",,"N","No averaging"
2016,"BMW","BMX","BMW","320i xDrive","FX99510",3,2,"DBMXJ02.0N20","Both",181,4,"2.0-N20-F30X","A","Automatic",8,"Y","R","2-Wheel Drive, Rear","2","Top gear ration < 1",3750,3.15,28,"1","Not eqipped","DBMX91001741","EPA","No","",,,,"3","HWFE","61","Tier 2 Cert Gasoline","HWY",0.007855,0.398889,184.3283971,0.0032971,,0.0027809,0.01,48.3,"MPG",,,,,,,,50.7,-0.331,0.02127,25.7,-0.313,0.02039,"TWC","Three-way catalyst","N","",,"N","No averaging"
2016,"BMW","BMX","BMW","320i xDrive","FX99510",3,2,"DBMXJ02.0N20","Both",181,4,"2.0-N20-F30X","A","Automatic",8,"Y","R","2-Wheel Drive, Rear","2","Top gear ration < 1",3750,3.15,28,"1","Not eqipped","DBMX91001742","EPA","No","",,,,"21","Federal fuel 2-day exhaust (w/can load)","61","Tier 2 Cert Gasoline","FTP",0.0085332,0.582147,309.8485824,0.0117315,,0.0029321,0.01,28.7,"MPG",28.1467415,27.3658874,32.2391853,,,,,50.7,-0.331,0.02127,25.7,-0.313,0.02039,"TWC","Three-way catalyst","N","",,"N","No averaging"
2016,"BMW","BMX","BMW","328d","F099010",1,2,"EBMXV02.0N47","Car",183,4,"2.0-N47-F30","SA","Semi-Automatic",8,"Y","R","2-Wheel Drive, Rear","2","Top gear ration < 1",3750,2.81,25.2,"1","Not eqipped","EBMX10024681","MFR","No","",,,,"2","CVS 75 and later (w/o can. load)","19","Federal Cert Diesel 7-15 PPM Sulfur","FTP",0.02995,0.035,241.11,0.0087,0.00061,0.02553,0.01,42.2,"MPG",42.92,39.87,46.89,,,,,42.9,-0.364,0.02138,15.2,-0.138,0.01813,"DPF","Diesel Particulate Filter","N","",,"N","No averaging"
2016,"BMW","BMX","BMW","328d","F099010",1,2,"EBMXV02.0N47","Car",183,4,"2.0-N47-F30","SA","Semi-Automatic",8,"Y","R","2-Wheel Drive, Rear","2","Top gear ration < 1",3750,2.81,25.2,"1","Not eqipped","EBMX10024681","MFR","No","",,,,"2","CVS 75 and later (w/o can. load)","19","Federal Cert Diesel 7-15 PPM Sulfur","FTP",0.02995,0.035,241.11,0.0087,0.00061,0.02553,0.01,42.2,"MPG",42.92,39.87,46.89,,,,,42.9,-0.364,0.02138,15.2,-0.138,0.01813,"NOXAD","NOx Adsorber","N","",,"N","No averaging"
2016,"BMW","BMX","BMW","328d","F099010",1,2,"EBMXV02.0N47","Car",183,4,"2.0-N47-F30","SA","Semi-Automatic",8,"Y","R","2-Wheel Drive, Rear","2","Top gear ration < 1",3750,2.81,25.2,"1","Not eqipped","EBMX10024681","MFR","No","",,,,"2","CVS 75 and later (w/o can. load)","19","Federal Cert Diesel 7-15 PPM Sulfur","FTP",0.02995,0.035,241.11,0.0087,0.00061,0.02553,0.01,42.2,"MPG",42.92,39.87,46.89,,,,,42.9,-0.364,0.02138,15.2,-0.138,0.01813,"SCR","Selective Catalytic Reduction","N","",,"N","No averaging"
2016,"BMW","BMX","BMW","328d","F099010",1,2,"EBMXV02.0N47","Car",183,4,"2.0-N47-F30","SA","Semi-Automatic",8,"Y","R","2-Wheel Drive, Rear","2","Top gear ration < 1",3750,2.81,25.2,"1","Not eqipped","EBMX10024681","MFR","No","",,,,"2","CVS 75 and later (w/o can. load)","19","Federal Cert Diesel 7-15 PPM Sulfur","FTP",0.02995,0.035,241.11,0.0087,0.00061,0.02553,0.01,42.2,"MPG",42.92,39.87,46.89,,,,,42.9,-0.364,0.02138,15.2,-0.138,0.01813,"OC","Oxidation catalyst","N","",,"N","No averaging"
2016,"BMW","BMX","BMW","328d","F099010",1,2,"EBMXV02.0N47","Car",183,4,"2.0-N47-F30","SA","Semi-Automatic",8,"Y","R","2-Wheel Drive, Rear","2","Top gear ration < 1",3750,2.81,25.2,"1","Not eqipped","EBMX10024683","MFR","No","",,,,"3","HWFE","19","Federal Cert Diesel 7-15 PPM Sulfur","HWY",0.01035,0.0254,159.21,0.0006,,0.00884,0.01,64,"MPG",,,,,,,,42.9,-0.364,0.02138,15.2,-0.138,0.01813,"NOXAD","NOx Adsorber","N","",,"N","No averaging"
2016,"BMW","BMX","BMW","328d","F099010",1,2,"EBMXV02.0N47","Car",183,4,"2.0-N47-F30","SA","Semi-Automatic",8,"Y","R","2-Wheel Drive, Rear","2","Top gear ration < 1",3750,2.81,25.2,"1","Not eqipped","EBMX10024683","MFR","No","",,,,"3","HWFE","19","Federal Cert Diesel 7-15 PPM Sulfur","HWY",0.01035,0.0254,159.21,0.0006,,0.00884,0.01,64,"MPG",,,,,,,,42.9,-0.364,0.02138,15.2,-0.138,0.01813,"OC","Oxidation catalyst","N","",,"N","No averaging"
2016,"BMW","BMX","BMW","328d","F099010",1,2,"EBMXV02.0N47","Car",183,4,"2.0-N47-F30","SA","Semi-Automatic",8,"Y","R","2-Wheel Drive, Rear","2","Top gear ration < 1",3750,2.81,25.2,"1","Not eqipped","EBMX10024683","MFR","No","",,,,"3","HWFE","19","Federal Cert Diesel 7-15 PPM Sulfur","HWY",0.01035,0.0254,159.21,0.0006,,0.00884,0.01,64,"MPG",,,,,,,,42.9,-0.364,0.02138,15.2,-0.138,0.01813,"SCR","Selective Catalytic Reduction","N","",,"N","No averaging"
2016,"BMW","BMX","BMW","328d","F099010",1,2,"EBMXV02.0N47","Car",183,4,"2.0-N47-F30","SA","Semi-Automatic",8,"Y","R","2-Wheel Drive, Rear","2","Top gear ration < 1",3750,2.81,25.2,"1","Not eqipped","EBMX10024683","MFR","No","",,,,"3","HWFE","19","Federal Cert Diesel 7-15 PPM Sulfur","HWY",0.01035,0.0254,159.21,0.0006,,0.00884,0.01,64,"MPG",,,,,,,,42.9,-0.364,0.02138,15.2,-0.138,0.01813,"DPF","Diesel Particulate Filter","N","",,"N","No averaging"
